info,rating_num,title
怪蜀黍和小萝莉不得不说的故事。,9.4,这个杀手不太冷
一部美国近现代史。,9.4,阿甘正传
最美的谎言。,9.5,美丽人生
失去的才是永恒的。 ,9.3,泰坦尼克号
最好的宫崎骏，最好的久石让。 ,9.3,千与千寻
拯救一个人，就是拯救整个世界。,9.5,辛德勒的名单
诺兰给了我们一场无法盗取的梦。,9.3,盗梦空间
永远都不能忘记你所爱的人。,9.3,忠犬八公的故事
小瓦力，大人生。,9.3,机器人总动员
英俊版憨豆，高情商版谢耳朵。,9.2,三傻大闹宝莱坞
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,海上钢琴师
天籁一般的童声，是最接近上帝的存在。 ,9.3,放牛班的春天
如果再也不能见到你，祝你早安，午安，晚安。,9.2,楚门的世界
一生所爱。,9.2,大话西游之大圣娶亲
爱是一种力量，让我们超越时空感知它的存在。,9.2,星际穿越
人人心中都有个龙猫，童年就永远不会消失。,9.2,龙猫
千万不要记恨你的对手，这样会让你失去理智。,9.2,教父
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3,熔炉
香港电影史上永不过时的杰作。,9.1,无间道
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2,疯狂动物城
平民励志片。 ,9.0,当幸福来敲门
真正的幸福是来自内心深处。,9.0,怦然心动
满满温情的高雅喜剧。,9.2,触不可及
Tomorrow is another day.,9.2,乱世佳人
无尽的黑暗。,9.1,蝙蝠侠：黑暗骑士
张艺谋最好的电影。,9.2,活着
瑰丽壮观、无人能及的冒险之旅。,9.0,少年派的奇幻漂流
比利·怀德满分作品。,9.6,控方证人
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2,天堂电影院
对敌人的仁慈，就是对自己残忍。,9.2,鬼子来了
史诗的终章。,9.1,指环王3：王者无敌
1957年的理想主义。 ,9.4,十二怒汉
对天空的追逐，永不停止。 ,9.1,天空之城
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.1,摔跤吧！爸爸
最后那些最无聊的事情，才是最值得怀念的。 ,8.9,飞屋环游记
旷古烁今。,8.9,大话西游之月光宝盒
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,搏击俱乐部
爱情哪怕只有一天。,9.0,罗马假日
带着心爱的人在天空飞翔。,9.0,哈尔的移动城堡
史上最美的探戈。,9.0,闻香识女人
电影的现实意义大过电影本身。,9.2,辩护人
别样人生。,9.1,窃听风暴
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,两杆大烟枪
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.1,末代皇帝
自由万岁。,9.1,飞越疯人院
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0,死亡诗社
承前启后的史诗篇章。,9.0,指环王2：双塔奇兵
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.2,素媛
一张面具背后的理想与革命。,8.8,V字仇杀队
优雅的孤独。,9.1,教父2
死亡不是真的逝去，遗忘才是永恒的消亡。,9.0,寻梦环游记
传说的开始。,9.0,指环王1：魔戒再现
海豚的微笑，是世界上最高明的伪装。,9.3,海豚湾
人生不能像做菜，把所有的料都准备好了才下锅。,9.1,饮食男女
爱是一切逻辑和原由。,8.9,美丽心灵
动物版《哈姆雷特》。,9.0,狮子王
暗恋的极致。,8.9,情书
音乐能化解仇恨。,9.1,钢琴家
在时间之河里感受溺水之苦。,8.8,本杰明·巴顿奇事
往事如烟，无处祭奠。,9.1,美国往事
你以为你以为的就是你以为的。,8.8,看不见的客人
视觉革命。,8.9,黑客帝国
奔跑的孩子是天使。,9.2,小鞋子
美丽无罪。,8.8,西西里的美丽传说
经典之作，历久弥新。,9.3,大闹天宫
你给我翻译翻译，神马叫做TMD的惊喜。,8.7,让子弹飞
美利坚精神输出大片No1.,8.9,拯救大兵瑞恩
童话世界的开端。,8.9,哈利·波特与魔法石
孪生蝙蝠侠大战克隆金刚狼。,8.8,致命魔术
警察抓小偷，老鼠玩死猫。,8.8,七宗罪
以戏谑来戏谑戏谑。,8.9,被嫌弃的松子的一生
用音乐化解仇恨，让歌声串起美好。,9.0,音乐之声
故事的高级讲法。,8.8,低俗小说
法式小清新。 ,8.7,天使爱美丽
安东尼·霍普金斯的顶级表演。,8.8,沉默的羔羊
史诗大片的典范。,8.9,勇敢的心
骗子大师和执著警探的你追我跑故事。 ,8.9,猫鼠游戏
人的命运被自己瞬间的抉择改变。,8.7,蝴蝶效应
浪漫忧郁的成人童话。,8.7,剪刀手爱德华
爱情纠缠，男女一致。,8.9,春光乍泄
人生中应该拥有这样的一段豁然开朗。,8.8,心灵捕手
昔日翩翩少年，今日大腹便便。,8.7,禁闭岛
小清新的故事里注入了大历史的情怀。,8.8,布达佩斯大饭店
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.0,穿条纹睡衣的男孩
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,入殓师
绝对意义上的美轮美奂。,8.7,阿凡达
人与自然的战争史诗。,8.8,幽灵公主
一场华丽的意淫。,8.8,阳光灿烂的日子
最不可能的那个人永远是最可能的。,8.7,致命ID
深入内心的恐怖，出人意料的结局。,8.8,第六感
约翰尼·德普的独角戏。,8.7,加勒比海盗
人言可畏。,9.1,狩猎
你是我最好的朋友，你是我唯一的朋友 。,8.9,玛丽和马克思
每个人心中都有一座断背山。,8.7,断背山
寂寞没有期限。,8.7,重庆森林
大时代中的人生，小人物的悲喜。,9.2,摩登时代
我是一个演员。,8.7,喜剧之王
没有一人完全善，也没有一人完全恶。,8.7,告白
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,大鱼
年度最佳date movie。,8.7,消失的爱人
我们都曾经是一一。,9.0,一一
百看不厌。 ,8.7,射雕英雄传之东成西就
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,阳光姐妹淘
相逢只要一瞬间，等待却像是一辈子。,8.8,甜蜜蜜
缘分是个连绵词，最美不过一瞬。,8.8,爱在黎明破晓前
那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0,小森林 夏秋篇
和谐的生活离不开摸头与被摸头。,8.7,驯龙高手
少女情怀总是诗。,8.8,侧耳倾听
梦的勾结。,8.9,红辣椒
沉醉在电影的情感和视听氛围中无法自拔。,8.8,请以你的名字呼唤我
两张绝世的脸。 ,8.7,倩女幽魂
恐怖分子的“秋菊打官司”。,8.7,恐怖直播
动画片的圣经。,8.8,风之谷
被上帝抛弃了的上帝之城。,8.9,上帝之城
穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,超脱
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8,爱在日落黄昏时
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8,菊次郎的夏天
有时候幸福需要等一等。 ,8.7,幸福终点站
10年的完美句点。,8.7,哈利·波特与死亡圣器(下)
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,小森林 冬春篇
关于连环杀人悬案的集体回忆。,8.7,杀人回忆
《我是山姆》的《美丽人生》。,8.8,7号房的礼物
Mr. I Don't Care其实也有Care的时候。,8.5,神偷奶爸
曾经的那段美好会沉淀为一辈子的记忆。,8.7,借东西的小人阿莉埃蒂
触不到的恋人。,8.8,萤火之森
华太师是黄霑，吴镇宇四大才子之一。,8.5,唐伯虎点秋香
Balalala~~~,8.6,超能陆战队
诺兰就是保证。,8.7,蝙蝠侠：黑暗骑士崛起
不要给它起名字，起了名字就有感情了。,8.6,怪兽电力公司
岁月流逝，来日可追。,8.7,岁月神偷
真相就在眼前。,8.7,电锯惊魂
时代悲歌。,9.2,七武士
像吃了苏打饼一样干脆的电影。,8.7,谍影重重3
爱，是个动词。,8.6,真爱至上
老少皆宜，这就是好莱坞动画的魅力。,8.7,疯狂原始人
我的平常生活就是他人的幸福。,9.1,无人知晓
中国家庭的喜怒哀乐忍。,8.9,喜宴
幸福是生生不息，却难以触及的远。 ,8.7,萤火虫之墓
电影诗。,8.6,东邪西毒
英雄泪短，兄弟情长。 ,8.6,英雄本色
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.5,贫民窟的百万富翁
黑暗之美。,8.5,黑天鹅
一个针管引发的血案。,8.6,记忆碎片
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,血战钢锯岭
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,心迷宫
爱是摈弃傲慢与偏见之后的曙光。,8.5,傲慢与偏见
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.7,时空恋旅人
始于荒诞，止于更荒诞。,8.8,荒蛮故事
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7,雨人
香港浪漫主义警匪动作片的巅峰之作。,8.7,纵横四海
任何信念的力量，都无法改变命运。,8.8,教父3
Jared Leto的腿比女人还美！,8.7,达拉斯买家俱乐部
跨度十五年的欢乐与泪水。,8.8,玩具总动员3
当这个世界闭上双眼，他却敞开了怀抱。,8.9,卢旺达饭店
坏人的好总是比好人的好来得更感人。,9.1,完美的世界
偷情本没有这样美。,8.6,花样年华
我们都有权利不与自己的过去和解。,8.6,海边的曼彻斯特
大海啊，不全是水。,9.0,海洋
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.5,恋恋笔记本
永远看不腻的喜剧。,8.9,虎口脱险
感情不分食草或者食肉。,8.8,你看起来好像很好吃
有一些东西不应该被遗忘。,8.7,二十二
热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.6,被解救的姜戈
愿我们都不用长大，每一座城堡都能永远存在。,8.7,头脑特工队
迪士尼和皮克斯拿错剧本的产物。,8.7,无敌破坏王
松鼠才是角儿。,8.5,冰川时代
传奇，不是每个人都可以拥有。,8.8,燃情岁月
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.4,你的名字。
骨灰级歌舞片。,9.0,雨中曲
爱并不需要智商 。,8.9,我是山姆
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.7,三块广告牌
对爱的执着，可以超越一切。,8.6,爆裂鼓手
好的剧本是，就算你猜到了结局也猜不到全部。,8.9,未麻的部屋
爱上未来的你。 ,8.6,穿越时空的少女
中国式内在的美国电影。,8.8,魂断蓝桥
不可猜的青春迷笛。 ,8.5,猜火车
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.6,模仿游戏
惠及一生的美丽。,8.8,一个叫欧维的男人决定去死
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,房间
养狗三日，便会对你终其一生。,9.1,忠犬八公物语
来啊，互相伤害啊！,8.6,完美陌生人
人生的N种可能性。,8.7,罗生门
不要企图在重复中寻找已经失去的爱。,8.4,恐怖游轮
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.6,魔女宅急便
王家卫是一种风格，张国荣是一个代表。,8.5,阿飞正传
一个单凭体香达到高潮的男人。,8.5,香水
想你时你在闹海。,8.9,哪吒闹海
世界离独裁只有五天。,8.7,浪潮
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.5,朗读者
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.6,黑客帝国3：矩阵革命
是枝裕和的家庭习作。,8.7,海街日记
坚硬的信仰。,8.7,可可西里
谁说王家卫镜头很晃？,8.6,谍影重重2
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.5,谍影重重
做一颗让别人需要你的棋子。,8.6,战争之王
弱者送给弱者的一刀。,8.8,牯岭街少年杀人事件
天使保护事件始末。,8.9,地球上的星星
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.5,青蛇
只有有信仰的人才能说出事实真相。,8.7,一次别离
故事的反转与反转，分裂电影的始祖。,8.9,惊魂记
中国版《两杆大烟枪》。,8.4,疯狂的石头
诺兰的牛逼来源于内心散发出的恐惧。,8.9,追随
少见的超越首部的续集，动作片中的经典。,8.6,终结者2：审判日
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.4,源代码
宝莱坞的萝莉与大叔。,8.5,小萝莉的猴神大叔
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,步履不停
黑小鸭速效美白记。,8.3,初恋这件小事
爱我就给我看你的播放列表。,8.5,再次出发之纽约遇见你
嬉笑怒骂，调风动月。,8.5,新龙门客栈
天使与魔鬼的冲撞。,8.6,撞车
传奇的年代，醉人的童话。,9.1,天书奇谭
一场没有春天的噩梦。,8.7,梦之安魂曲
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,爱在午夜降临前
昆汀同学越来越变态了，比北野武还杜琪峰。,9.1,海蒂和爷爷
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,8.5,无耻混蛋
永远的小人物，伟大的卓别林。,9.2,东京物语
天使暂时离开。,9.3,城市之光
小成本大魅力。,8.7,绿里奇迹
每个美丽事物背后都是滴血的现实。,8.5,彗星来的那一夜
科幻真正的魅力不是视觉效果能取代的。 ,8.6,血钻
生病的E.T.皮肤的颜色就像柿子饼。,8.5,这个男人来自地球
没有了退路，只好飞向自由。,8.7,末路狂花
现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.7,2001太空漫游
新闻人的理性求真。,8.8,聚焦
类型片的极致。 ,8.6,勇闯夺命岛
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4,变脸
我完全康复了。,8.5,发条橙
青春就是放弃和怀念。,8.3,秒速5厘米
最棒的西部片。,9.1,黄金三镖客
还原真实而残酷的战争。,8.6,黑鹰坠落
我不信仰上帝，但我敬畏上帝。,8.3,功夫
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,8.6,非常嫌疑犯
你要相信，这世上真的有爱存在，不管在什么年纪 ,8.6,卡萨布兰卡
皇上无话儿。,9.0,我爱你
一部能引人思考的科幻励志片。,8.3,国王的演讲
每个人的内心都是深不可测的大海。 ,8.7,千钧一发
用剩余不多的时间，去燃烧整个生命。,8.5,美国丽人
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,8.6,疯狂的麦克斯4：狂暴之路
一个人的独角戏。,8.6,遗愿清单
过去的如果就让它过去了，未来只会越来越糟！,8.6,奇迹男孩
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,8.7,碧海蓝天
"In memory, love lives forever...",8.5,荒岛余生
出门必备：本草纲目。,8.3,驴得水
